cell_id,clone_id
SA1090-A96213A-R25-C18,8
SA922-A90554B-R29-C51,0
SA922-A90554B-R24-C36,17
SA1090-A96213A-R30-C36,10
SA1090-A96213A-R33-C43,8
SA921-A90554A-R11-C25,14
SA1090-A96213A-R24-C63,11
SA922-A90554B-R25-C09,17
SA922-A90554B-R25-C08,17
SA1090-A96213A-R28-C08,1
SA1090-A96213A-R32-C42,10
SA922-A90554B-R28-C67,17
SA1090-A96213A-R27-C21,8
SA1090-A96213A-R34-C29,8
SA1090-A96213A-R20-C61,1
SA921-A90554A-R10-C60,16
SA1090-A96213A-R29-C59,1
SA921-A90554A-R13-C50,6
SA1090-A96213A-R33-C09,10
SA921-A90554A-R09-C41,6
SA1090-A96213A-R33-C31,11
SA1090-A96213A-R28-C33,8
SA1090-A96213A-R22-C46,11
SA1090-A96213A-R29-C10,11
SA921-A90554A-R07-C19,6
SA921-A90554A-R07-C52,16
SA922-A90554B-R32-C13,17
SA921-A90554A-R04-C69,6
SA922-A90554B-R31-C19,0
SA1090-A96213A-R30-C31,11
SA1090-A96213A-R33-C41,11
SA1090-A96213A-R20-C35,1
SA921-A90554A-R06-C24,6
SA921-A90554A-R13-C64,14
SA1090-A96213A-R28-C42,8
SA922-A90554B-R26-C24,0
SA921-A90554A-R06-C64,14
SA922-A90554B-R26-C20,17
SA922-A90554B-R35-C19,0
SA1090-A96213A-R33-C52,10
SA921-A90554A-R10-C09,14
SA1090-A96213A-R29-C43,11
SA921-A90554A-R13-C12,14
SA1090-A96213A-R30-C15,10
SA921-A90554A-R10-C30,14
SA921-A90554A-R10-C57,14
SA922-A90554B-R24-C24,0
SA1090-A96213A-R34-C50,1
SA921-A90554A-R04-C29,14
SA1090-A96213A-R33-C17,10
SA921-A90554A-R14-C25,16
SA1090-A96213A-R31-C55,10
SA922-A90554B-R29-C49,17
SA1090-A96213A-R22-C17,1
SA1090-A96213A-R31-C42,8
SA1090-A96213A-R22-C21,1
SA921-A90554A-R03-C58,14
SA922-A90554B-R33-C45,0
SA921-A90554A-R13-C22,14
SA1090-A96213A-R20-C12,8
SA1090-A96213A-R29-C46,1
SA1090-A96213A-R34-C39,11
SA922-A90554B-R33-C57,0
SA1090-A96213A-R28-C47,10
SA1090-A96213A-R20-C22,8
SA921-A90554A-R09-C40,6
SA922-A90554B-R27-C68,17
SA1090-A96213A-R33-C24,8
SA922-A90554B-R35-C56,17
SA1090-A96213A-R24-C13,1
SA1090-A96213A-R32-C15,1
SA1090-A96213A-R26-C19,10
SA921-A90554A-R13-C17,16
SA1090-A96213A-R27-C58,8
SA1090-A96213A-R28-C20,11
SA1090-A96213A-R24-C66,1
SA922-A90554B-R31-C18,17
SA1090-A96213A-R28-C13,10
SA921-A90554A-R12-C13,14
SA922-A90554B-R33-C29,17
SA921-A90554A-R03-C27,16
SA921-A90554A-R11-C26,6
SA922-A90554B-R23-C44,0
SA921-A90554A-R05-C69,14
SA1090-A96213A-R31-C10,8
SA921-A90554A-R08-C42,6
SA1090-A96213A-R35-C32,11
SA1090-A96213A-R27-C37,10
SA1090-A96213A-R29-C40,8
SA921-A90554A-R04-C67,6
SA921-A90554A-R15-C44,14
SA922-A90554B-R27-C41,0
SA1090-A96213A-R28-C45,10
SA922-A90554B-R30-C28,0
SA921-A90554A-R04-C20,16
SA921-A90554A-R14-C42,6
SA1090-A96213A-R29-C15,8
SA1090-A96213A-R32-C35,11
SA921-A90554A-R14-C51,16
SA1090-A96213A-R35-C21,11
SA1090-A96213A-R30-C38,11
SA922-A90554B-R27-C48,0
SA921-A90554A-R09-C51,16
SA921-A90554A-R12-C50,14
SA922-A90554B-R35-C21,0
SA1090-A96213A-R20-C27,1
SA1090-A96213A-R20-C37,10
