dataset,index,method,metric,value
0.1,0,copy_nj,tree_acc,0.030927835051546393
0.1,0,dice,tree_acc,0.05154639175257732
0.1,0,scistree2,tree_acc,0.16494845360824742
0.1,0,cellphy,tree_acc,0.18556701030927836
0.1,0,scistreec,tree_acc,0.26804123711340205
0.1,0,scistree2,geno_acc,0.9917
0.1,0,cellphy,geno_acc,0.9236
0.1,0,scistreec,geno_acc,0.9918
0.1,1,copy_nj,tree_acc,0.020618556701030927
0.1,1,dice,tree_acc,0.041237113402061855
0.1,1,scistree2,tree_acc,0.21649484536082475
0.1,1,cellphy,tree_acc,0.24742268041237114
0.1,1,scistreec,tree_acc,0.41237113402061853
0.1,1,scistree2,geno_acc,0.9925
0.1,1,cellphy,geno_acc,0.8953
0.1,1,scistreec,geno_acc,0.9927
0.1,2,copy_nj,tree_acc,0.0
0.1,2,dice,tree_acc,0.020618556701030927
0.1,2,scistree2,tree_acc,0.18556701030927836
0.1,2,cellphy,tree_acc,0.23711340206185566
0.1,2,scistreec,tree_acc,0.41237113402061853
0.1,2,scistree2,geno_acc,0.9914
0.1,2,cellphy,geno_acc,0.8795
0.1,2,scistreec,geno_acc,0.9929
0.1,3,copy_nj,tree_acc,0.0
0.1,3,dice,tree_acc,0.020618556701030927
0.1,3,scistree2,tree_acc,0.23711340206185566
0.1,3,cellphy,tree_acc,0.24742268041237114
0.1,3,scistreec,tree_acc,0.41237113402061853
0.1,3,scistree2,geno_acc,0.9927
0.1,3,cellphy,geno_acc,0.8879
0.1,3,scistreec,geno_acc,0.9922
0.1,4,copy_nj,tree_acc,0.0
0.1,4,dice,tree_acc,0.041237113402061855
0.1,4,scistree2,tree_acc,0.23711340206185566
0.1,4,cellphy,tree_acc,0.20618556701030927
0.1,4,scistreec,tree_acc,0.3917525773195876
0.1,4,scistree2,geno_acc,0.9916
0.1,4,cellphy,geno_acc,0.8974
0.1,4,scistreec,geno_acc,0.992
0.1,5,copy_nj,tree_acc,0.010309278350515464
0.1,5,dice,tree_acc,0.08247422680412371
0.1,5,scistree2,tree_acc,0.2268041237113402
0.1,5,cellphy,tree_acc,0.28865979381443296
0.1,5,scistreec,tree_acc,0.4329896907216495
0.1,5,scistree2,geno_acc,0.9935
0.1,5,cellphy,geno_acc,0.9368
0.1,5,scistreec,geno_acc,0.9941
0.1,6,copy_nj,tree_acc,0.030927835051546393
0.1,6,dice,tree_acc,0.07216494845360824
0.1,6,scistree2,tree_acc,0.25773195876288657
0.1,6,cellphy,tree_acc,0.26804123711340205
0.1,6,scistreec,tree_acc,0.27835051546391754
0.1,6,scistree2,geno_acc,0.9916
0.1,6,cellphy,geno_acc,0.8968
0.1,6,scistreec,geno_acc,0.9907
0.1,7,copy_nj,tree_acc,0.0
0.1,7,dice,tree_acc,0.010309278350515464
0.1,7,scistree2,tree_acc,0.3402061855670103
0.1,7,cellphy,tree_acc,0.30927835051546393
0.1,7,scistreec,tree_acc,0.422680412371134
0.1,7,scistree2,geno_acc,0.994
0.1,7,cellphy,geno_acc,0.9024
0.1,7,scistreec,geno_acc,0.993
0.1,8,copy_nj,tree_acc,0.0
0.1,8,dice,tree_acc,0.030927835051546393
0.1,8,scistree2,tree_acc,0.29896907216494845
0.1,8,cellphy,tree_acc,0.28865979381443296
0.1,8,scistreec,tree_acc,0.4329896907216495
0.1,8,scistree2,geno_acc,0.9938
0.1,8,cellphy,geno_acc,0.8899
0.1,8,scistreec,geno_acc,0.9941
0.1,9,copy_nj,tree_acc,0.0
0.1,9,dice,tree_acc,0.030927835051546393
0.1,9,scistree2,tree_acc,0.25773195876288657
0.1,9,cellphy,tree_acc,0.2268041237113402
0.1,9,scistreec,tree_acc,0.41237113402061853
0.1,9,scistree2,geno_acc,0.995
0.1,9,cellphy,geno_acc,0.9343
0.1,9,scistreec,geno_acc,0.9951
0.3,0,copy_nj,tree_acc,0.0
0.3,0,dice,tree_acc,0.0
0.3,0,scistree2,tree_acc,0.26804123711340205
0.3,0,cellphy,tree_acc,0.26804123711340205
0.3,0,scistreec,tree_acc,0.3711340206185567
0.3,0,scistree2,geno_acc,0.9924
0.3,0,cellphy,geno_acc,0.8767
0.3,0,scistreec,geno_acc,0.9925
0.3,1,copy_nj,tree_acc,0.0
0.3,1,dice,tree_acc,0.0
0.3,1,scistree2,tree_acc,0.1134020618556701
0.3,1,cellphy,tree_acc,0.1958762886597938
0.3,1,scistreec,tree_acc,0.16494845360824742
0.3,1,scistree2,geno_acc,0.9919
0.3,1,cellphy,geno_acc,0.9318
0.3,1,scistreec,geno_acc,0.9918
0.3,2,copy_nj,tree_acc,0.0
0.3,2,dice,tree_acc,0.0
0.3,2,scistree2,tree_acc,0.31958762886597936
0.3,2,cellphy,tree_acc,0.28865979381443296
0.3,2,scistreec,tree_acc,0.4329896907216495
0.3,2,scistree2,geno_acc,0.9941
0.3,2,cellphy,geno_acc,0.9177
0.3,2,scistreec,geno_acc,0.9936
0.3,3,copy_nj,tree_acc,0.0
0.3,3,dice,tree_acc,0.010309278350515464
0.3,3,scistree2,tree_acc,0.32989690721649484
0.3,3,cellphy,tree_acc,0.28865979381443296
0.3,3,scistreec,tree_acc,0.29896907216494845
0.3,3,scistree2,geno_acc,0.9936
0.3,3,cellphy,geno_acc,0.9425
0.3,3,scistreec,geno_acc,0.9928
0.3,4,copy_nj,tree_acc,0.0
0.3,4,dice,tree_acc,0.0
0.3,4,scistree2,tree_acc,0.23711340206185566
0.3,4,cellphy,tree_acc,0.17525773195876287
0.3,4,scistreec,tree_acc,0.26804123711340205
0.3,4,scistree2,geno_acc,0.9926
0.3,4,cellphy,geno_acc,0.9222
0.3,4,scistreec,geno_acc,0.9928
0.3,5,copy_nj,tree_acc,0.0
0.3,5,dice,tree_acc,0.010309278350515464
0.3,5,scistree2,tree_acc,0.3402061855670103
0.3,5,cellphy,tree_acc,0.3402061855670103
0.3,5,scistreec,tree_acc,0.3917525773195876
0.3,5,scistree2,geno_acc,0.9944
0.3,5,cellphy,geno_acc,0.8737
0.3,5,scistreec,geno_acc,0.994
0.3,6,copy_nj,tree_acc,0.010309278350515464
0.3,6,dice,tree_acc,0.010309278350515464
0.3,6,scistree2,tree_acc,0.27835051546391754
0.3,6,cellphy,tree_acc,0.23711340206185566
0.3,6,scistreec,tree_acc,0.36082474226804123
0.3,6,scistree2,geno_acc,0.9943
0.3,6,cellphy,geno_acc,0.9417
0.3,6,scistreec,geno_acc,0.9932
0.3,7,copy_nj,tree_acc,0.010309278350515464
0.3,7,dice,tree_acc,0.010309278350515464
0.3,7,scistree2,tree_acc,0.20618556701030927
0.3,7,cellphy,tree_acc,0.20618556701030927
0.3,7,scistreec,tree_acc,0.27835051546391754
0.3,7,scistree2,geno_acc,0.9927
0.3,7,cellphy,geno_acc,0.889
0.3,7,scistreec,geno_acc,0.9918
0.3,8,copy_nj,tree_acc,0.0
0.3,8,dice,tree_acc,0.0
0.3,8,scistree2,tree_acc,0.26804123711340205
0.3,8,cellphy,tree_acc,0.23711340206185566
0.3,8,scistreec,tree_acc,0.27835051546391754
0.3,8,scistree2,geno_acc,0.9919
0.3,8,cellphy,geno_acc,0.9054
0.3,8,scistreec,geno_acc,0.9901
0.3,9,copy_nj,tree_acc,0.0
0.3,9,dice,tree_acc,0.0
0.3,9,scistree2,tree_acc,0.28865979381443296
0.3,9,cellphy,tree_acc,0.21649484536082475
0.3,9,scistreec,tree_acc,0.3402061855670103
0.3,9,scistree2,geno_acc,0.9938
0.3,9,cellphy,geno_acc,0.914
0.3,9,scistreec,geno_acc,0.9903
0.5,0,copy_nj,tree_acc,0.0
0.5,0,dice,tree_acc,0.0
0.5,0,scistree2,tree_acc,0.17525773195876287
0.5,0,cellphy,tree_acc,0.17525773195876287
0.5,0,scistreec,tree_acc,0.16494845360824742
0.5,0,scistree2,geno_acc,0.9932
0.5,0,cellphy,geno_acc,0.8977
0.5,0,scistreec,geno_acc,0.984
0.5,1,copy_nj,tree_acc,0.0
0.5,1,dice,tree_acc,0.0
0.5,1,scistree2,tree_acc,0.20618556701030927
0.5,1,cellphy,tree_acc,0.25773195876288657
0.5,1,scistreec,tree_acc,0.23711340206185566
0.5,1,scistree2,geno_acc,0.9935
0.5,1,cellphy,geno_acc,0.9061
0.5,1,scistreec,geno_acc,0.9895
0.5,2,copy_nj,tree_acc,0.010309278350515464
0.5,2,dice,tree_acc,0.010309278350515464
0.5,2,scistree2,tree_acc,0.23711340206185566
0.5,2,cellphy,tree_acc,0.20618556701030927
0.5,2,scistreec,tree_acc,0.23711340206185566
