dataset,index,method,metric,value
0,0,copy_nj,tree_acc,0.26804123711340205
0,0,dice,tree_acc,0.31958762886597936
0,0,scistree2,tree_acc,0.25773195876288657
0,0,cellphy,tree_acc,0.21649484536082475
0,0,scistreec,tree_acc,0.3711340206185567
0,0,scistree2,geno_acc,0.9923
0,0,cellphy,geno_acc,0.9319
0,0,scistreec,geno_acc,0.9935
0,1,copy_nj,tree_acc,0.20618556701030927
0,1,dice,tree_acc,0.25773195876288657
0,1,scistree2,tree_acc,0.20618556701030927
0,1,cellphy,tree_acc,0.23711340206185566
0,1,scistreec,tree_acc,0.36082474226804123
0,1,scistree2,geno_acc,0.9925
0,1,cellphy,geno_acc,0.9077
0,1,scistreec,geno_acc,0.9929
0,2,copy_nj,tree_acc,0.36082474226804123
0,2,dice,tree_acc,0.41237113402061853
0,2,scistree2,tree_acc,0.36082474226804123
0,2,cellphy,tree_acc,0.32989690721649484
0,2,scistreec,tree_acc,0.5051546391752577
0,2,scistree2,geno_acc,0.9955
0,2,cellphy,geno_acc,0.8865
0,2,scistreec,geno_acc,0.9955
0,3,copy_nj,tree_acc,0.20618556701030927
0,3,dice,tree_acc,0.17525773195876287
0,3,scistree2,tree_acc,0.20618556701030927
0,3,cellphy,tree_acc,0.18556701030927836
0,3,scistreec,tree_acc,0.41237113402061853
0,3,scistree2,geno_acc,0.9923
0,3,cellphy,geno_acc,0.9032
0,3,scistreec,geno_acc,0.9921
0,4,copy_nj,tree_acc,0.29896907216494845
0,4,dice,tree_acc,0.20618556701030927
0,4,scistree2,tree_acc,0.2268041237113402
0,4,cellphy,tree_acc,0.2268041237113402
0,4,scistreec,tree_acc,0.29896907216494845
0,4,scistree2,geno_acc,0.9932
0,4,cellphy,geno_acc,0.9463
0,4,scistreec,geno_acc,0.9941
0,5,copy_nj,tree_acc,0.26804123711340205
0,5,dice,tree_acc,0.23711340206185566
0,5,scistree2,tree_acc,0.13402061855670103
0,5,cellphy,tree_acc,0.12371134020618557
0,5,scistreec,tree_acc,0.25773195876288657
0,5,scistree2,geno_acc,0.9916
0,5,cellphy,geno_acc,0.8929
0,5,scistreec,geno_acc,0.9918
0,6,copy_nj,tree_acc,0.24742268041237114
0,6,dice,tree_acc,0.24742268041237114
0,6,scistree2,tree_acc,0.27835051546391754
0,6,cellphy,tree_acc,0.25773195876288657
0,6,scistreec,tree_acc,0.38144329896907214
0,6,scistree2,geno_acc,0.9932
0,6,cellphy,geno_acc,0.9532
0,6,scistreec,geno_acc,0.9932
0,7,copy_nj,tree_acc,0.28865979381443296
0,7,dice,tree_acc,0.2268041237113402
0,7,scistree2,tree_acc,0.18556701030927836
0,7,cellphy,tree_acc,0.17525773195876287
0,7,scistreec,tree_acc,0.30927835051546393
0,7,scistree2,geno_acc,0.9917
0,7,cellphy,geno_acc,0.9362
0,7,scistreec,geno_acc,0.9906
0,8,copy_nj,tree_acc,0.28865979381443296
0,8,dice,tree_acc,0.28865979381443296
0,8,scistree2,tree_acc,0.26804123711340205
0,8,cellphy,tree_acc,0.25773195876288657
0,8,scistreec,tree_acc,0.4329896907216495
0,8,scistree2,geno_acc,0.9943
0,8,cellphy,geno_acc,0.9034
0,8,scistreec,geno_acc,0.9945
0,9,copy_nj,tree_acc,0.3402061855670103
0,9,dice,tree_acc,0.35051546391752575
0,9,scistree2,tree_acc,0.36082474226804123
0,9,cellphy,tree_acc,0.4020618556701031
0,9,scistreec,tree_acc,0.5360824742268041
0,9,scistree2,geno_acc,0.9936
0,9,cellphy,geno_acc,0.9212
0,9,scistreec,geno_acc,0.9926
0,10,copy_nj,tree_acc,0.20618556701030927
0,10,dice,tree_acc,0.18556701030927836
0,10,scistree2,tree_acc,0.23711340206185566
0,10,cellphy,tree_acc,0.29896907216494845
0,10,scistreec,tree_acc,0.36082474226804123
0,10,scistree2,geno_acc,0.9929
0,10,cellphy,geno_acc,0.928
0,10,scistreec,geno_acc,0.9937
0.1,0,copy_nj,tree_acc,0.09278350515463918
0.1,0,dice,tree_acc,0.10309278350515463
0.1,0,scistree2,tree_acc,0.18556701030927836
0.1,0,cellphy,tree_acc,0.21649484536082475
0.1,0,scistreec,tree_acc,0.32989690721649484
0.1,0,scistree2,geno_acc,0.9921
0.1,0,cellphy,geno_acc,0.9356
0.1,0,scistreec,geno_acc,0.9924
0.1,1,copy_nj,tree_acc,0.14432989690721648
0.1,1,dice,tree_acc,0.12371134020618557
0.1,1,scistree2,tree_acc,0.27835051546391754
0.1,1,cellphy,tree_acc,0.28865979381443296
0.1,1,scistreec,tree_acc,0.36082474226804123
0.1,1,scistree2,geno_acc,0.9932
0.1,1,cellphy,geno_acc,0.9274
0.1,1,scistreec,geno_acc,0.9944
0.1,2,copy_nj,tree_acc,0.12371134020618557
0.1,2,dice,tree_acc,0.1134020618556701
0.1,2,scistree2,tree_acc,0.16494845360824742
0.1,2,cellphy,tree_acc,0.13402061855670103
0.1,2,scistreec,tree_acc,0.23711340206185566
0.1,2,scistree2,geno_acc,0.9913
0.1,2,cellphy,geno_acc,0.931
0.1,2,scistreec,geno_acc,0.9919
0.1,3,copy_nj,tree_acc,0.18556701030927836
0.1,3,dice,tree_acc,0.16494845360824742
0.1,3,scistree2,tree_acc,0.4020618556701031
0.1,3,cellphy,tree_acc,0.4536082474226804
0.1,3,scistreec,tree_acc,0.4536082474226804
0.1,3,scistree2,geno_acc,0.9949
0.1,3,cellphy,geno_acc,0.9321
0.1,3,scistreec,geno_acc,0.9951
0.1,4,copy_nj,tree_acc,0.13402061855670103
0.1,4,dice,tree_acc,0.15463917525773196
0.1,4,scistree2,tree_acc,0.14432989690721648
0.1,4,cellphy,tree_acc,0.20618556701030927
0.1,4,scistreec,tree_acc,0.28865979381443296
0.1,4,scistree2,geno_acc,0.9911
0.1,4,cellphy,geno_acc,0.9039
0.1,4,scistreec,geno_acc,0.9915
0.1,5,copy_nj,tree_acc,0.16494845360824742
0.1,5,dice,tree_acc,0.09278350515463918
0.1,5,scistree2,tree_acc,0.16494845360824742
0.1,5,cellphy,tree_acc,0.20618556701030927
0.1,5,scistreec,tree_acc,0.30927835051546393
0.1,5,scistree2,geno_acc,0.9918
0.1,5,cellphy,geno_acc,0.9211
0.1,5,scistreec,geno_acc,0.992
0.1,6,copy_nj,tree_acc,0.12371134020618557
0.1,6,dice,tree_acc,0.12371134020618557
0.1,6,scistree2,tree_acc,0.23711340206185566
0.1,6,cellphy,tree_acc,0.21649484536082475
0.1,6,scistreec,tree_acc,0.3711340206185567
0.1,6,scistree2,geno_acc,0.9928
0.1,6,cellphy,geno_acc,0.9122
0.1,6,scistreec,geno_acc,0.9919
0.1,7,copy_nj,tree_acc,0.14432989690721648
0.1,7,dice,tree_acc,0.15463917525773196
0.1,7,scistree2,tree_acc,0.24742268041237114
0.1,7,cellphy,tree_acc,0.1958762886597938
0.1,7,scistreec,tree_acc,0.24742268041237114
0.1,7,scistree2,geno_acc,0.993
0.1,7,cellphy,geno_acc,0.8886
0.1,7,scistreec,geno_acc,0.9921
0.1,8,copy_nj,tree_acc,0.15463917525773196
0.1,8,dice,tree_acc,0.09278350515463918
0.1,8,scistree2,tree_acc,0.27835051546391754
0.1,8,cellphy,tree_acc,0.27835051546391754
0.1,8,scistreec,tree_acc,0.28865979381443296
0.1,8,scistree2,geno_acc,0.9926
0.1,8,cellphy,geno_acc,0.9535
0.1,8,scistreec,geno_acc,0.9919
0.1,9,copy_nj,tree_acc,0.10309278350515463
0.1,9,dice,tree_acc,0.061855670103092786
0.1,9,scistree2,tree_acc,0.18556701030927836
0.1,9,cellphy,tree_acc,0.21649484536082475
0.1,9,scistreec,tree_acc,0.21649484536082475
0.1,9,scistree2,geno_acc,0.9929
0.1,9,cellphy,geno_acc,0.9284
0.1,9,scistreec,geno_acc,0.993
0.2,0,copy_nj,tree_acc,0.09278350515463918
0.2,0,dice,tree_acc,0.041237113402061855
0.2,0,scistree2,tree_acc,0.2268041237113402
0.2,0,cellphy,tree_acc,0.20618556701030927
0.2,0,scistreec,tree_acc,0.26804123711340205
0.2,0,scistree2,geno_acc,0.9918
0.2,0,cellphy,geno_acc,0.9345
0.2,0,scistreec,geno_acc,0.9907
0.2,1,copy_nj,tree_acc,0.05154639175257732
0.2,1,dice,tree_acc,0.030927835051546393
0.2,1,scistree2,tree_acc,0.23711340206185566
0.2,1,cellphy,tree_acc,0.21649484536082475
0.2,1,scistreec,tree_acc,0.28865979381443296
0.2,1,scistree2,geno_acc,0.9923
0.2,1,cellphy,geno_acc,0.9213
0.2,1,scistreec,geno_acc,0.9907
0.2,2,copy_nj,tree_acc,0.08247422680412371
0.2,2,dice,tree_acc,0.041237113402061855
0.2,2,scistree2,tree_acc,0.28865979381443296
0.2,2,cellphy,tree_acc,0.20618556701030927
0.2,2,scistreec,tree_acc,0.1958762886597938
0.2,2,scistree2,geno_acc,0.993
0.2,2,cellphy,geno_acc,0.9277
0.2,2,scistreec,geno_acc,0.9923
0.2,3,copy_nj,tree_acc,0.07216494845360824
0.2,3,dice,tree_acc,0.041237113402061855
0.2,3,scistree2,tree_acc,0.27835051546391754
0.2,3,cellphy,tree_acc,0.24742268041237114
0.2,3,scistreec,tree_acc,0.38144329896907214
0.2,3,scistree2,geno_acc,0.9924
0.2,3,cellphy,geno_acc,0.9244
0.2,3,scistreec,geno_acc,0.9924
0.2,4,copy_nj,tree_acc,0.12371134020618557
0.2,4,dice,tree_acc,0.05154639175257732
0.2,4,scistree2,tree_acc,0.24742268041237114
0.2,4,cellphy,tree_acc,0.21649484536082475
0.2,4,scistreec,tree_acc,0.3402061855670103
0.2,4,scistree2,geno_acc,0.9931
0.2,4,cellphy,geno_acc,0.9196
0.2,4,scistreec,geno_acc,0.9932
0.2,5,copy_nj,tree_acc,0.08247422680412371
0.2,5,dice,tree_acc,0.030927835051546393
0.2,5,scistree2,tree_acc,0.31958762886597936
0.2,5,cellphy,tree_acc,0.28865979381443296
0.2,5,scistreec,tree_acc,0.2268041237113402
0.2,5,scistree2,geno_acc,0.993
0.2,5,cellphy,geno_acc,0.9302
0.2,5,scistreec,geno_acc,0.9922
0.2,6,copy_nj,tree_acc,0.07216494845360824
0.2,6,dice,tree_acc,0.030927835051546393
0.2,6,scistree2,tree_acc,0.31958762886597936
0.2,6,cellphy,tree_acc,0.31958762886597936
0.2,6,scistreec,tree_acc,0.26804123711340205
0.2,6,scistree2,geno_acc,0.992
0.2,6,cellphy,geno_acc,0.9052
0.2,6,scistreec,geno_acc,0.9926
0.2,7,copy_nj,tree_acc,0.061855670103092786
0.2,7,dice,tree_acc,0.041237113402061855
0.2,7,scistree2,tree_acc,0.4329896907216495
0.2,7,cellphy,tree_acc,0.35051546391752575
0.2,7,scistreec,tree_acc,0.4329896907216495
0.2,7,scistree2,geno_acc,0.9935
0.2,7,cellphy,geno_acc,0.8937
0.2,7,scistreec,geno_acc,0.9936
0.2,8,copy_nj,tree_acc,0.15463917525773196
0.2,8,dice,tree_acc,0.061855670103092786
0.2,8,scistree2,tree_acc,0.30927835051546393
0.2,8,cellphy,tree_acc,0.32989690721649484
0.2,8,scistreec,tree_acc,0.29896907216494845
0.2,8,scistree2,geno_acc,0.993
0.2,8,cellphy,geno_acc,0.9254
0.2,8,scistreec,geno_acc,0.9927
0.2,9,copy_nj,tree_acc,0.12371134020618557
0.2,9,dice,tree_acc,0.08247422680412371
0.2,9,scistree2,tree_acc,0.28865979381443296
0.2,9,cellphy,tree_acc,0.27835051546391754
0.2,9,scistreec,tree_acc,0.3402061855670103
0.2,9,scistree2,geno_acc,0.9956
0.2,9,cellphy,geno_acc,0.8995
0.2,9,scistreec,geno_acc,0.995
0.3,0,copy_nj,tree_acc,0.030927835051546393
0.3,0,dice,tree_acc,0.0
0.3,0,scistree2,tree_acc,0.18556701030927836
0.3,0,cellphy,tree_acc,0.17525773195876287
0.3,0,scistreec,tree_acc,0.14432989690721648
0.3,0,scistree2,geno_acc,0.9933
0.3,0,cellphy,geno_acc,0.9235
0.3,0,scistreec,geno_acc,0.9902
0.3,1,copy_nj,tree_acc,0.05154639175257732
0.3,1,dice,tree_acc,0.020618556701030927
0.3,1,scistree2,tree_acc,0.23711340206185566
0.3,1,cellphy,tree_acc,0.24742268041237114
0.3,1,scistreec,tree_acc,0.20618556701030927
0.3,1,scistree2,geno_acc,0.9923
0.3,1,cellphy,geno_acc,0.9283
0.3,1,scistreec,geno_acc,0.9895
0.3,2,copy_nj,tree_acc,0.041237113402061855
0.3,2,dice,tree_acc,0.010309278350515464
0.3,2,scistree2,tree_acc,0.25773195876288657
0.3,2,cellphy,tree_acc,0.31958762886597936
0.3,2,scistreec,tree_acc,0.18556701030927836
0.3,2,scistree2,geno_acc,0.9934
0.3,2,cellphy,geno_acc,0.9137
0.3,2,scistreec,geno_acc,0.9911
0.3,3,copy_nj,tree_acc,0.030927835051546393
0.3,3,dice,tree_acc,0.030927835051546393
0.3,3,scistree2,tree_acc,0.27835051546391754
0.3,3,cellphy,tree_acc,0.24742268041237114
0.3,3,scistreec,tree_acc,0.25773195876288657
0.3,3,scistree2,geno_acc,0.9939
0.3,3,cellphy,geno_acc,0.8772
0.3,3,scistreec,geno_acc,0.9932
0.3,4,copy_nj,tree_acc,0.030927835051546393
0.3,4,dice,tree_acc,0.020618556701030927
0.3,4,scistree2,tree_acc,0.20618556701030927
0.3,4,cellphy,tree_acc,0.21649484536082475
0.3,4,scistreec,tree_acc,0.16494845360824742
0.3,4,scistree2,geno_acc,0.991
0.3,4,cellphy,geno_acc,0.9406
0.3,4,scistreec,geno_acc,0.9908
0.3,5,copy_nj,tree_acc,0.041237113402061855
0.3,5,dice,tree_acc,0.020618556701030927
0.3,5,scistree2,tree_acc,0.24742268041237114
0.3,5,cellphy,tree_acc,0.1958762886597938
0.3,5,scistreec,tree_acc,0.18556701030927836
0.3,5,scistree2,geno_acc,0.9936
0.3,5,cellphy,geno_acc,0.9371
0.3,5,scistreec,geno_acc,0.9907
0.3,6,copy_nj,tree_acc,0.061855670103092786
0.3,6,dice,tree_acc,0.010309278350515464
0.3,6,scistree2,tree_acc,0.23711340206185566
0.3,6,cellphy,tree_acc,0.27835051546391754
0.3,6,scistreec,tree_acc,0.17525773195876287
0.3,6,scistree2,geno_acc,0.9938
0.3,6,cellphy,geno_acc,0.9223
0.3,6,scistreec,geno_acc,0.9891
0.3,7,copy_nj,tree_acc,0.061855670103092786
0.3,7,dice,tree_acc,0.030927835051546393
0.3,7,scistree2,tree_acc,0.14432989690721648
0.3,7,cellphy,tree_acc,0.15463917525773196
0.3,7,scistreec,tree_acc,0.14432989690721648
0.3,7,scistree2,geno_acc,0.9917
0.3,7,cellphy,geno_acc,0.9064
0.3,7,scistreec,geno_acc,0.9906
0.3,8,copy_nj,tree_acc,0.030927835051546393
0.3,8,dice,tree_acc,0.0
0.3,8,scistree2,tree_acc,0.2268041237113402
0.3,8,cellphy,tree_acc,0.18556701030927836
0.3,8,scistreec,tree_acc,0.12371134020618557
0.3,8,scistree2,geno_acc,0.9927
0.3,8,cellphy,geno_acc,0.9271
0.3,8,scistreec,geno_acc,0.9897
0.3,9,copy_nj,tree_acc,0.030927835051546393
0.3,9,dice,tree_acc,0.010309278350515464
0.3,9,scistree2,tree_acc,0.18556701030927836
0.3,9,cellphy,tree_acc,0.18556701030927836
0.3,9,scistreec,tree_acc,0.12371134020618557
