ncell,nsite,index,method,metric,value
50,50,0,copy_nj,time,0.05399465560913086
50,50,0,dice,time,0.2515299320220947
50,50,0,scistree2,time,0.04126691818237305
50,50,0,cellphy,time,3.357332468032837
50,50,0,scistreec,time,45.403512954711914
50,50,1,copy_nj,time,0.05460786819458008
50,50,1,dice,time,0.23766374588012695
50,50,1,scistree2,time,0.03701496124267578
50,50,1,cellphy,time,3.04895281791687
50,50,1,scistreec,time,48.55582785606384
50,50,2,copy_nj,time,0.05418252944946289
50,50,2,dice,time,0.24685287475585938
50,50,2,scistree2,time,0.048256874084472656
50,50,2,cellphy,time,3.226107120513916
50,50,2,scistreec,time,36.62552070617676
50,50,3,copy_nj,time,0.054498910903930664
50,50,3,dice,time,0.2649264335632324
50,50,3,scistree2,time,0.044901371002197266
50,50,3,cellphy,time,3.1963694095611572
50,50,3,scistreec,time,30.405143976211548
50,200,0,copy_nj,time,0.05573606491088867
50,200,0,dice,time,0.24582290649414062
50,200,0,scistree2,time,0.07866764068603516
50,200,0,cellphy,time,3.416651487350464
50,200,0,scistreec,time,13.736859798431396
50,200,1,copy_nj,time,0.054268836975097656
50,200,1,dice,time,0.2516059875488281
50,200,1,scistree2,time,0.07515525817871094
50,200,1,cellphy,time,3.5724637508392334
50,200,1,scistreec,time,15.130697250366211
50,200,2,copy_nj,time,0.05911421775817871
50,200,2,dice,time,0.25490546226501465
50,200,2,scistree2,time,0.07304620742797852
50,200,2,cellphy,time,3.6656579971313477
50,200,2,scistreec,time,15.799713373184204
50,200,3,copy_nj,time,0.05580496788024902
50,200,3,dice,time,0.25736308097839355
50,200,3,scistree2,time,0.07730817794799805
50,200,3,cellphy,time,3.2835869789123535
50,200,3,scistreec,time,17.410341262817383
50,500,0,copy_nj,time,0.05492663383483887
50,500,0,dice,time,0.2614471912384033
50,500,0,scistree2,time,0.1203460693359375
50,500,0,cellphy,time,3.9712603092193604
50,500,0,scistreec,time,8.743872165679932
50,500,1,copy_nj,time,0.0564885139465332
50,500,1,dice,time,0.29115915298461914
50,500,1,scistree2,time,0.11637139320373535
50,500,1,cellphy,time,3.9439198970794678
50,500,1,scistreec,time,7.893522024154663
50,500,2,copy_nj,time,0.0556185245513916
50,500,2,dice,time,0.2899138927459717
50,500,2,scistree2,time,0.11086773872375488
50,500,2,cellphy,time,3.7487330436706543
50,500,2,scistreec,time,6.53871750831604
50,500,3,copy_nj,time,0.05533146858215332
50,500,3,dice,time,0.2733578681945801
50,500,3,scistree2,time,0.14639902114868164
