ncell,nsite,index,method,metric,value
500,50,0,scistree2,time,0.6667952537536621
500,50,0,cellphy,time,33.08188009262085
500,50,1,scistree2,time,0.607424259185791
500,50,1,cellphy,time,32.70066428184509
500,50,2,scistree2,time,0.775285005569458
500,50,2,cellphy,time,46.67253088951111
500,50,3,scistree2,time,0.672062873840332
500,50,3,cellphy,time,114.8384313583374
500,200,0,scistree2,time,1.9278380870819092
500,200,0,cellphy,time,135.69092917442322
500,200,1,scistree2,time,1.4102840423583984
500,200,1,cellphy,time,153.59199404716492
500,200,2,scistree2,time,1.9787917137145996
500,200,2,cellphy,time,109.90924119949341
500,200,3,scistree2,time,1.466871738433838
500,200,3,cellphy,time,98.53785061836243
500,500,0,scistree2,time,3.535053014755249
500,500,0,cellphy,time,205.0724675655365
500,500,1,scistree2,time,3.3133037090301514
500,500,1,cellphy,time,103.05680418014526
500,500,2,scistree2,time,3.3434739112854004
500,500,2,cellphy,time,151.22290802001953
500,500,3,scistree2,time,3.764242172241211
500,500,3,cellphy,time,155.07252860069275
