dataset,index,method,metric,value,cell,cluster
50_4,0,copy_nj,tree_acc,0.1063829787234042,50,4
50_4,0,dice,tree_acc,0.0851063829787234,50,4
50_4,0,scistree2,tree_acc,0.2978723404255319,50,4
50_4,0,cellphy,tree_acc,0.2340425531914893,50,4
50_4,0,scistreec,tree_acc,0.2978723404255319,50,4
50_4,1,copy_nj,tree_acc,0.1702127659574468,50,4
50_4,1,dice,tree_acc,0.1276595744680851,50,4
50_4,1,scistree2,tree_acc,0.2340425531914893,50,4
50_4,1,cellphy,tree_acc,0.1276595744680851,50,4
50_4,1,scistreec,tree_acc,0.1914893617021276,50,4
50_4,2,copy_nj,tree_acc,0.1063829787234042,50,4
50_4,2,dice,tree_acc,0.1276595744680851,50,4
50_4,2,scistree2,tree_acc,0.3829787234042553,50,4
50_4,2,cellphy,tree_acc,0.2340425531914893,50,4
50_4,2,scistreec,tree_acc,0.3404255319148936,50,4
50_4,3,copy_nj,tree_acc,0.1489361702127659,50,4
50_4,3,dice,tree_acc,0.1276595744680851,50,4
50_4,3,scistree2,tree_acc,0.4468085106382978,50,4
50_4,3,cellphy,tree_acc,0.2765957446808511,50,4
50_4,3,scistreec,tree_acc,0.3617021276595745,50,4
50_4,4,copy_nj,tree_acc,0.1063829787234042,50,4
50_4,4,dice,tree_acc,0.1276595744680851,50,4
50_4,4,scistree2,tree_acc,0.3404255319148936,50,4
50_4,4,cellphy,tree_acc,0.3404255319148936,50,4
50_4,4,scistreec,tree_acc,0.2978723404255319,50,4
50_4,5,copy_nj,tree_acc,0.1276595744680851,50,4
50_4,5,dice,tree_acc,0.1276595744680851,50,4
50_4,5,scistree2,tree_acc,0.2765957446808511,50,4
50_4,5,cellphy,tree_acc,0.1489361702127659,50,4
50_4,5,scistreec,tree_acc,0.2978723404255319,50,4
50_4,6,copy_nj,tree_acc,0.1914893617021276,50,4
50_4,6,dice,tree_acc,0.1702127659574468,50,4
50_4,6,scistree2,tree_acc,0.2127659574468085,50,4
50_4,6,cellphy,tree_acc,0.2127659574468085,50,4
50_4,6,scistreec,tree_acc,0.2978723404255319,50,4
50_4,7,copy_nj,tree_acc,0.1063829787234042,50,4
50_4,7,dice,tree_acc,0.1063829787234042,50,4
50_4,7,scistree2,tree_acc,0.2553191489361702,50,4
50_4,7,cellphy,tree_acc,0.2553191489361702,50,4
50_4,7,scistreec,tree_acc,0.2553191489361702,50,4
50_4,8,copy_nj,tree_acc,0.1702127659574468,50,4
50_4,8,dice,tree_acc,0.1702127659574468,50,4
50_4,8,scistree2,tree_acc,0.2127659574468085,50,4
50_4,8,cellphy,tree_acc,0.1702127659574468,50,4
50_4,8,scistreec,tree_acc,0.2340425531914893,50,4
50_4,9,copy_nj,tree_acc,0.1702127659574468,50,4
50_4,9,dice,tree_acc,0.1702127659574468,50,4
50_4,9,scistree2,tree_acc,0.2340425531914893,50,4
50_4,9,cellphy,tree_acc,0.2553191489361702,50,4
50_4,9,scistreec,tree_acc,0.3191489361702128,50,4
100_4,0,copy_nj,tree_acc,0.0618556701030927,100,4
100_4,0,dice,tree_acc,0.0515463917525773,100,4
100_4,0,scistree2,tree_acc,0.2886597938144329,100,4
100_4,0,cellphy,tree_acc,0.3092783505154639,100,4
100_4,0,scistreec,tree_acc,0.2577319587628865,100,4
100_4,1,copy_nj,tree_acc,0.0515463917525773,100,4
100_4,1,dice,tree_acc,0.0721649484536082,100,4
100_4,1,scistree2,tree_acc,0.2371134020618556,100,4
100_4,1,cellphy,tree_acc,0.1752577319587628,100,4
100_4,1,scistreec,tree_acc,0.2061855670103092,100,4
100_4,2,copy_nj,tree_acc,0.0515463917525773,100,4
100_4,2,dice,tree_acc,0.0618556701030927,100,4
100_4,2,scistree2,tree_acc,0.3092783505154639,100,4
100_4,2,cellphy,tree_acc,0.2886597938144329,100,4
100_4,2,scistreec,tree_acc,0.2886597938144329,100,4
100_4,3,copy_nj,tree_acc,0.0618556701030927,100,4
100_4,3,dice,tree_acc,0.0618556701030927,100,4
100_4,3,scistree2,tree_acc,0.1546391752577319,100,4
100_4,3,cellphy,tree_acc,0.1752577319587628,100,4
100_4,3,scistreec,tree_acc,0.1855670103092783,100,4
100_4,4,copy_nj,tree_acc,0.0515463917525773,100,4
100_4,4,dice,tree_acc,0.0927835051546391,100,4
