dataset,index,method,metric,value
50_4,0,copy_nj,tree_acc,0.10638297872340426
50_4,0,dice,tree_acc,0.10638297872340426
50_4,0,scistree2,tree_acc,0.3191489361702128
50_4,0,cellphy,tree_acc,0.23404255319148937
50_4,0,scistreec,tree_acc,0.3404255319148936
50_4,0,condor,tree_acc,0.2127659574468085
50_4,0,scistree2,geno_acc,0.978
50_4,0,cellphy,geno_acc,0.8028
50_4,0,scistreec,geno_acc,0.9788
50_4,0,condor,geno_acc,0.9184
50_4,1,copy_nj,tree_acc,0.14893617021276595
50_4,1,dice,tree_acc,0.1276595744680851
50_4,1,scistree2,tree_acc,0.19148936170212766
50_4,1,cellphy,tree_acc,0.0851063829787234
50_4,1,scistreec,tree_acc,0.2127659574468085
50_4,1,condor,tree_acc,0.1276595744680851
50_4,1,scistree2,geno_acc,0.9728
50_4,1,cellphy,geno_acc,0.688
50_4,1,scistreec,geno_acc,0.9756
50_4,1,condor,geno_acc,0.8848
50_4,2,copy_nj,tree_acc,0.10638297872340426
50_4,2,dice,tree_acc,0.10638297872340426
50_4,2,scistree2,tree_acc,0.2978723404255319
50_4,2,cellphy,tree_acc,0.3829787234042553
50_4,2,scistreec,tree_acc,0.3404255319148936
50_4,2,condor,tree_acc,0.2765957446808511
50_4,2,scistree2,geno_acc,0.9792
50_4,2,cellphy,geno_acc,0.7984
50_4,2,scistreec,geno_acc,0.9804
50_4,2,condor,geno_acc,0.898
50_4,3,copy_nj,tree_acc,0.10638297872340426
50_4,3,dice,tree_acc,0.10638297872340426
50_4,3,scistree2,tree_acc,0.1276595744680851
50_4,3,cellphy,tree_acc,0.1702127659574468
50_4,3,scistreec,tree_acc,0.23404255319148937
50_4,3,condor,tree_acc,0.14893617021276595
50_4,3,scistree2,geno_acc,0.9808
50_4,3,cellphy,geno_acc,0.84
50_4,3,scistreec,geno_acc,0.9788
50_4,3,condor,geno_acc,0.9448
50_4,4,copy_nj,tree_acc,0.10638297872340426
50_4,4,dice,tree_acc,0.10638297872340426
50_4,4,scistree2,tree_acc,0.2765957446808511
50_4,4,cellphy,tree_acc,0.2765957446808511
50_4,4,scistreec,tree_acc,0.44680851063829785
50_4,4,condor,tree_acc,0.19148936170212766
50_4,4,scistree2,geno_acc,0.9844
50_4,4,cellphy,geno_acc,0.8468
50_4,4,scistreec,geno_acc,0.9872
50_4,4,condor,geno_acc,0.9344
50_6,0,copy_nj,tree_acc,0.2127659574468085
50_6,0,dice,tree_acc,0.2127659574468085
50_6,0,scistree2,tree_acc,0.2553191489361702
50_6,0,cellphy,tree_acc,0.3404255319148936
50_6,0,scistreec,tree_acc,0.3404255319148936
50_6,0,condor,tree_acc,0.2765957446808511
50_6,0,scistree2,geno_acc,0.9532
50_6,0,cellphy,geno_acc,0.7496
50_6,0,scistreec,geno_acc,0.9476
50_6,0,condor,geno_acc,0.7712
50_6,1,copy_nj,tree_acc,0.1702127659574468
50_6,1,dice,tree_acc,0.14893617021276595
50_6,1,scistree2,tree_acc,0.1276595744680851
50_6,1,cellphy,tree_acc,0.14893617021276595
50_6,1,scistreec,tree_acc,0.2978723404255319
50_6,1,condor,tree_acc,0.2127659574468085
50_6,1,scistree2,geno_acc,0.9824
50_6,1,cellphy,geno_acc,0.8244
50_6,1,scistreec,geno_acc,0.9876
50_6,1,condor,geno_acc,0.8668
50_6,2,copy_nj,tree_acc,0.2127659574468085
50_6,2,dice,tree_acc,0.1702127659574468
50_6,2,scistree2,tree_acc,0.3829787234042553
50_6,2,cellphy,tree_acc,0.3404255319148936
50_6,2,scistreec,tree_acc,0.425531914893617
50_6,2,condor,tree_acc,0.2765957446808511
50_6,2,scistree2,geno_acc,0.9824
50_6,2,cellphy,geno_acc,0.806
50_6,2,scistreec,geno_acc,0.982
50_6,2,condor,geno_acc,0.8296
50_6,3,copy_nj,tree_acc,0.19148936170212766
50_6,3,dice,tree_acc,0.2127659574468085
50_6,3,scistree2,tree_acc,0.2765957446808511
50_6,3,cellphy,tree_acc,0.19148936170212766
50_6,3,scistreec,tree_acc,0.3829787234042553
50_6,3,condor,tree_acc,0.19148936170212766
50_6,3,scistree2,geno_acc,0.9704
50_6,3,cellphy,geno_acc,0.7184
50_6,3,scistreec,geno_acc,0.9732
50_6,3,condor,geno_acc,0.866
50_6,4,copy_nj,tree_acc,0.2127659574468085
50_6,4,dice,tree_acc,0.2127659574468085
50_6,4,scistree2,tree_acc,0.2978723404255319
50_6,4,cellphy,tree_acc,0.2553191489361702
50_6,4,scistreec,tree_acc,0.3404255319148936
50_6,4,condor,tree_acc,0.19148936170212766
50_6,4,scistree2,geno_acc,0.9764
50_6,4,cellphy,geno_acc,0.7216
50_6,4,scistreec,geno_acc,0.978
50_6,4,condor,geno_acc,0.8536
