dataset,index,method,metric,value
50_50,0,copy_nj,tree_acc,0.1702127659574468
50_50,0,dice,tree_acc,0.14893617021276595
50_50,0,scistree2,tree_acc,0.2127659574468085
50_50,0,cellphy,tree_acc,0.23404255319148937
50_50,0,scistreec,tree_acc,0.2978723404255319
50_50,0,scistree2,geno_acc,0.9856
50_50,0,cellphy,geno_acc,0.8604
50_50,0,scistreec,geno_acc,0.9836
50_50,1,copy_nj,tree_acc,0.1702127659574468
50_50,1,dice,tree_acc,0.1702127659574468
50_50,1,scistree2,tree_acc,0.1276595744680851
50_50,1,cellphy,tree_acc,0.19148936170212766
50_50,1,scistreec,tree_acc,0.2765957446808511
50_50,1,scistree2,geno_acc,0.9832
50_50,1,cellphy,geno_acc,0.8316
50_50,1,scistreec,geno_acc,0.9868
50_50,2,copy_nj,tree_acc,0.3191489361702128
50_50,2,dice,tree_acc,0.2765957446808511
50_50,2,scistree2,tree_acc,0.2127659574468085
50_50,2,cellphy,tree_acc,0.19148936170212766
50_50,2,scistreec,tree_acc,0.44680851063829785
50_50,2,scistree2,geno_acc,0.9888
50_50,2,cellphy,geno_acc,0.8424
50_50,2,scistreec,geno_acc,0.9916
50_50,3,copy_nj,tree_acc,0.10638297872340426
50_50,3,dice,tree_acc,0.0851063829787234
50_50,3,scistree2,tree_acc,0.2765957446808511
50_50,3,cellphy,tree_acc,0.2978723404255319
50_50,3,scistreec,tree_acc,0.2553191489361702
50_50,3,scistree2,geno_acc,0.9872
50_50,3,cellphy,geno_acc,0.8864
50_50,3,scistreec,geno_acc,0.9876
50_50,4,copy_nj,tree_acc,0.06382978723404255
50_50,4,dice,tree_acc,0.02127659574468085
50_50,4,scistree2,tree_acc,0.23404255319148937
50_50,4,cellphy,tree_acc,0.1702127659574468
50_50,4,scistreec,tree_acc,0.2127659574468085
50_50,4,scistree2,geno_acc,0.9864
50_50,4,cellphy,geno_acc,0.8696
50_50,4,scistreec,geno_acc,0.9836
50_50,5,copy_nj,tree_acc,0.19148936170212766
50_50,5,dice,tree_acc,0.19148936170212766
50_50,5,scistree2,tree_acc,0.2765957446808511
50_50,5,cellphy,tree_acc,0.2553191489361702
50_50,5,scistreec,tree_acc,0.425531914893617
50_50,5,scistree2,geno_acc,0.9872
50_50,5,cellphy,geno_acc,0.8208
50_50,5,scistreec,geno_acc,0.99
50_50,6,copy_nj,tree_acc,0.23404255319148937
50_50,6,dice,tree_acc,0.19148936170212766
50_50,6,scistree2,tree_acc,0.19148936170212766
50_50,6,cellphy,tree_acc,0.1702127659574468
50_50,6,scistreec,tree_acc,0.2553191489361702
50_50,6,scistree2,geno_acc,0.9892
50_50,6,cellphy,geno_acc,0.8792
50_50,6,scistreec,geno_acc,0.986
50_50,7,copy_nj,tree_acc,0.23404255319148937
50_50,7,dice,tree_acc,0.19148936170212766
50_50,7,scistree2,tree_acc,0.3191489361702128
50_50,7,cellphy,tree_acc,0.2978723404255319
50_50,7,scistreec,tree_acc,0.2978723404255319
50_50,7,scistree2,geno_acc,0.9892
50_50,7,cellphy,geno_acc,0.8816
50_50,7,scistreec,geno_acc,0.988
50_50,8,copy_nj,tree_acc,0.2978723404255319
50_50,8,dice,tree_acc,0.1702127659574468
50_50,8,scistree2,tree_acc,0.23404255319148937
50_50,8,cellphy,tree_acc,0.3191489361702128
50_50,8,scistreec,tree_acc,0.425531914893617
50_50,8,scistree2,geno_acc,0.9892
50_50,8,cellphy,geno_acc,0.8964
50_50,8,scistreec,geno_acc,0.9892
