dataset,index,method,metric,value
50_50,0,copy_nj,tree_acc,0.1702127659574468
50_50,0,dice,tree_acc,0.19148936170212766
50_50,0,scistree2,tree_acc,0.02127659574468085
50_50,0,cellphy,tree_acc,0.0425531914893617
50_50,0,scistreec,tree_acc,0.0425531914893617
50_50,0,scistree2,geno_acc,0.9296
50_50,0,cellphy,geno_acc,0.9144
50_50,0,scistreec,geno_acc,0.952
50_50,1,copy_nj,tree_acc,0.2127659574468085
50_50,1,dice,tree_acc,0.2978723404255319
50_50,1,scistree2,tree_acc,0.0851063829787234
50_50,1,cellphy,tree_acc,0.06382978723404255
50_50,1,scistreec,tree_acc,0.2127659574468085
50_50,1,scistree2,geno_acc,0.9352
50_50,1,cellphy,geno_acc,0.8444
50_50,1,scistreec,geno_acc,0.9576
50_50,2,copy_nj,tree_acc,0.0851063829787234
50_50,2,dice,tree_acc,0.06382978723404255
50_50,2,scistree2,tree_acc,0.0
50_50,2,cellphy,tree_acc,0.0425531914893617
50_50,2,scistreec,tree_acc,0.06382978723404255
50_50,2,scistree2,geno_acc,0.9232
50_50,2,cellphy,geno_acc,0.8848
50_50,2,scistreec,geno_acc,0.9532
50_50,3,copy_nj,tree_acc,0.2765957446808511
50_50,3,dice,tree_acc,0.2127659574468085
50_50,3,scistree2,tree_acc,0.02127659574468085
50_50,3,cellphy,tree_acc,0.0425531914893617
50_50,3,scistreec,tree_acc,0.1702127659574468
50_50,3,scistree2,geno_acc,0.926
50_50,3,cellphy,geno_acc,0.828
50_50,3,scistreec,geno_acc,0.9492
50_50,4,copy_nj,tree_acc,0.0851063829787234
50_50,4,dice,tree_acc,0.0425531914893617
50_50,4,scistree2,tree_acc,0.0425531914893617
50_50,4,cellphy,tree_acc,0.06382978723404255
50_50,4,scistreec,tree_acc,0.10638297872340426
50_50,4,scistree2,geno_acc,0.9216
50_50,4,cellphy,geno_acc,0.8812
50_50,4,scistreec,geno_acc,0.9632
50_50,5,copy_nj,tree_acc,0.0
50_50,5,dice,tree_acc,0.0
50_50,5,scistree2,tree_acc,0.14893617021276595
50_50,5,cellphy,tree_acc,0.0425531914893617
50_50,5,scistreec,tree_acc,0.10638297872340426
50_50,5,scistree2,geno_acc,0.9308
50_50,5,cellphy,geno_acc,0.8464
50_50,5,scistreec,geno_acc,0.9548
50_50,6,copy_nj,tree_acc,0.19148936170212766
50_50,6,dice,tree_acc,0.19148936170212766
50_50,6,scistree2,tree_acc,0.0
50_50,6,cellphy,tree_acc,0.06382978723404255
50_50,6,scistreec,tree_acc,0.1702127659574468
50_50,6,scistree2,geno_acc,0.9184
50_50,6,cellphy,geno_acc,0.7488
50_50,6,scistreec,geno_acc,0.9584
50_50,7,copy_nj,tree_acc,0.2765957446808511
50_50,7,dice,tree_acc,0.3191489361702128
50_50,7,scistree2,tree_acc,0.06382978723404255
50_50,7,cellphy,tree_acc,0.0425531914893617
50_50,7,scistreec,tree_acc,0.06382978723404255
50_50,7,scistree2,geno_acc,0.9232
50_50,7,cellphy,geno_acc,0.8456
50_50,7,scistreec,geno_acc,0.9428
50_50,8,copy_nj,tree_acc,0.0851063829787234
50_50,8,dice,tree_acc,0.0425531914893617
