dataset,index,method,metric,value
50_50,0,copy_nj,tree_acc,0.02127659574468085
50_50,0,dice,tree_acc,0.0
50_50,0,scistree2,tree_acc,0.06382978723404255
50_50,0,cellphy,tree_acc,0.14893617021276595
50_50,0,scistreec,tree_acc,0.10638297872340426
50_50,0,scistree2,geno_acc,0.9416
50_50,0,cellphy,geno_acc,0.838
50_50,0,scistreec,geno_acc,0.9524
50_50,1,copy_nj,tree_acc,0.0
50_50,1,dice,tree_acc,0.0
50_50,1,scistree2,tree_acc,0.06382978723404255
50_50,1,cellphy,tree_acc,0.0851063829787234
50_50,1,scistreec,tree_acc,0.0851063829787234
50_50,1,scistree2,geno_acc,0.9136
50_50,1,cellphy,geno_acc,0.914
50_50,1,scistreec,geno_acc,0.9356
50_50,2,copy_nj,tree_acc,0.0
50_50,2,dice,tree_acc,0.0
50_50,2,scistree2,tree_acc,0.02127659574468085
50_50,2,cellphy,tree_acc,0.06382978723404255
50_50,2,scistreec,tree_acc,0.23404255319148937
50_50,2,scistree2,geno_acc,0.9348
50_50,2,cellphy,geno_acc,0.8732
50_50,2,scistreec,geno_acc,0.942
50_50,3,copy_nj,tree_acc,0.0
50_50,3,dice,tree_acc,0.02127659574468085
50_50,3,scistree2,tree_acc,0.0425531914893617
50_50,3,cellphy,tree_acc,0.1276595744680851
50_50,3,scistreec,tree_acc,0.19148936170212766
50_50,3,scistree2,geno_acc,0.9348
50_50,3,cellphy,geno_acc,0.8996
50_50,3,scistreec,geno_acc,0.962
50_50,4,copy_nj,tree_acc,0.02127659574468085
50_50,4,dice,tree_acc,0.02127659574468085
50_50,4,scistree2,tree_acc,0.0
50_50,4,cellphy,tree_acc,0.02127659574468085
50_50,4,scistreec,tree_acc,0.1276595744680851
50_50,4,scistree2,geno_acc,0.932
50_50,4,cellphy,geno_acc,0.8876
50_50,4,scistreec,geno_acc,0.964
100_100,0,copy_nj,tree_acc,0.010309278350515464
100_100,0,dice,tree_acc,0.010309278350515464
100_100,0,scistree2,tree_acc,0.030927835051546393
100_100,0,cellphy,tree_acc,0.09278350515463918
100_100,0,scistreec,tree_acc,0.12371134020618557
100_100,0,scistree2,geno_acc,0.9592
100_100,0,cellphy,geno_acc,0.9149
100_100,0,scistreec,geno_acc,0.9685
100_100,1,copy_nj,tree_acc,0.010309278350515464
100_100,1,dice,tree_acc,0.0
100_100,1,scistree2,tree_acc,0.061855670103092786
100_100,1,cellphy,tree_acc,0.061855670103092786
100_100,1,scistreec,tree_acc,0.13402061855670103
100_100,1,scistree2,geno_acc,0.9437
100_100,1,cellphy,geno_acc,0.9152
100_100,1,scistreec,geno_acc,0.9471
100_100,2,copy_nj,tree_acc,0.0
100_100,2,dice,tree_acc,0.0
100_100,2,scistree2,tree_acc,0.05154639175257732
100_100,2,cellphy,tree_acc,0.07216494845360824
100_100,2,scistreec,tree_acc,0.09278350515463918
100_100,2,scistree2,geno_acc,0.9534
100_100,2,cellphy,geno_acc,0.9044
100_100,2,scistreec,geno_acc,0.9637
100_100,3,copy_nj,tree_acc,0.020618556701030927
100_100,3,dice,tree_acc,0.020618556701030927
100_100,3,scistree2,tree_acc,0.041237113402061855
100_100,3,cellphy,tree_acc,0.08247422680412371
100_100,3,scistreec,tree_acc,0.10309278350515463
100_100,3,scistree2,geno_acc,0.9616
100_100,3,cellphy,geno_acc,0.8746
100_100,3,scistreec,geno_acc,0.9746
100_100,4,copy_nj,tree_acc,0.010309278350515464
100_100,4,dice,tree_acc,0.010309278350515464
100_100,4,scistree2,tree_acc,0.061855670103092786
100_100,4,cellphy,tree_acc,0.10309278350515463
100_100,4,scistreec,tree_acc,0.07216494845360824
100_100,4,scistree2,geno_acc,0.9471
100_100,4,cellphy,geno_acc,0.8799
100_100,4,scistreec,geno_acc,0.9643
150_150,0,copy_nj,tree_acc,0.0
150_150,0,dice,tree_acc,0.013605442176870748
150_150,0,scistree2,tree_acc,0.04081632653061224
150_150,0,cellphy,tree_acc,0.14285714285714285
150_150,0,scistreec,tree_acc,0.14965986394557823
150_150,0,scistree2,geno_acc,0.9647555555555556
150_150,0,cellphy,geno_acc,0.9107111111111111
150_150,0,scistreec,geno_acc,0.9718666666666667
150_150,1,copy_nj,tree_acc,0.0
150_150,1,dice,tree_acc,0.013605442176870748
150_150,1,scistree2,tree_acc,0.047619047619047616
150_150,1,cellphy,tree_acc,0.08163265306122448
150_150,1,scistreec,tree_acc,0.19047619047619047
150_150,1,scistree2,geno_acc,0.9635555555555556
150_150,1,cellphy,geno_acc,0.9384
150_150,1,scistreec,geno_acc,0.9724
150_150,2,copy_nj,tree_acc,0.02040816326530612
150_150,2,dice,tree_acc,0.034013605442176874
150_150,2,scistree2,tree_acc,0.061224489795918366
150_150,2,cellphy,tree_acc,0.06802721088435375
150_150,2,scistreec,tree_acc,0.1564625850340136
150_150,2,scistree2,geno_acc,0.9629777777777778
150_150,2,cellphy,geno_acc,0.9247111111111112
150_150,2,scistreec,geno_acc,0.9776
150_150,3,copy_nj,tree_acc,0.0
150_150,3,dice,tree_acc,0.013605442176870748
150_150,3,scistree2,tree_acc,0.02040816326530612
150_150,3,cellphy,tree_acc,0.027210884353741496
150_150,3,scistreec,tree_acc,0.09523809523809523
150_150,3,scistree2,geno_acc,0.9625333333333334
150_150,3,cellphy,geno_acc,0.9355555555555556
150_150,3,scistreec,geno_acc,0.9688444444444444
150_150,4,copy_nj,tree_acc,0.013605442176870748
150_150,4,dice,tree_acc,0.02040816326530612
150_150,4,scistree2,tree_acc,0.013605442176870748
150_150,4,cellphy,tree_acc,0.06802721088435375
