dataset,index,method,metric,value
200_200,0,copy_nj,tree_acc,0.0
200_200,0,dice,tree_acc,0.0
200_200,0,scistree2,tree_acc,0.030456852791878174
200_200,0,cellphy,tree_acc,0.06598984771573604
200_200,0,scistreec,tree_acc,0.1065989847715736
200_200,0,scistree2,geno_acc,0.967025
200_200,0,cellphy,geno_acc,0.9171
200_200,0,scistreec,geno_acc,0.966725
200_200,1,copy_nj,tree_acc,0.005076142131979695
200_200,1,dice,tree_acc,0.02030456852791878
200_200,1,scistree2,tree_acc,0.050761421319796954
200_200,1,cellphy,tree_acc,0.050761421319796954
200_200,1,scistreec,tree_acc,0.17766497461928935
200_200,1,scistree2,geno_acc,0.970125
200_200,1,cellphy,geno_acc,0.90035
200_200,1,scistreec,geno_acc,0.975325
200_200,2,copy_nj,tree_acc,0.005076142131979695
200_200,2,dice,tree_acc,0.01015228426395939
200_200,2,scistree2,tree_acc,0.06091370558375635
200_200,2,cellphy,tree_acc,0.07106598984771574
200_200,2,scistreec,tree_acc,0.12690355329949238
200_200,2,scistree2,geno_acc,0.9651
200_200,2,cellphy,geno_acc,0.933275
200_200,2,scistreec,geno_acc,0.97015
200_200,3,copy_nj,tree_acc,0.005076142131979695
200_200,3,dice,tree_acc,0.01015228426395939
200_200,3,scistree2,tree_acc,0.07106598984771574
200_200,3,cellphy,tree_acc,0.050761421319796954
200_200,3,scistreec,tree_acc,0.15228426395939088
200_200,3,scistree2,geno_acc,0.9736
200_200,3,cellphy,geno_acc,0.92105
200_200,3,scistreec,geno_acc,0.979075
200_200,4,copy_nj,tree_acc,0.005076142131979695
200_200,4,dice,tree_acc,0.025380710659898477
200_200,4,scistree2,tree_acc,0.01015228426395939
200_200,4,cellphy,tree_acc,0.06598984771573604
200_200,4,scistreec,tree_acc,0.08121827411167512
200_200,4,scistree2,geno_acc,0.96605
200_200,4,cellphy,geno_acc,0.95025
200_200,4,scistreec,geno_acc,0.973825
